transcript_id	TPM
Gpal_D383_g00256.t1	21.630651
Gpal_D383_g00257.t1	28.391993
Gpal_D383_g00258.t1	492.522675
Gpal_D383_g00260.t1	87.889427
Gpal_D383_g00261.t1	0.412149
Gpal_D383_g00262.t1	6.449225
Gpal_D383_g00267.t1	359.241119
Gpal_D383_g00269.t1	33.747055
Gpal_D383_g00270.t1	127.968102
Gpal_D383_g00271.t1	39.334660
Gpal_D383_g00272.t1	18.435429
Gpal_D383_g00273.t1	3.243582
Gpal_D383_g00274.t1	4.618395
Gpal_D383_g00275.t1	1246.650513
Gpal_D383_g00307.t1	36.321011
Gpal_D383_g00308.t1	484.358643
Gpal_D383_g00374.t1	0.000000
Gpal_D383_g00374.t2	3.348987
Gpal_D383_g00375.t1	62.102882
Gpal_D383_g00379.t1	0.000000
Gpal_D383_g00379.t2	16.071787
Gpal_D383_g00380.t1	10.678153
Gpal_D383_g00377.t1	0.000000
Gpal_D383_g00377.t2	0.000000
Gpal_D383_g00376.t1	13.555800
Gpal_D383_g00377.t3	7.389285
Gpal_D383_g00378.t1	1.216688
Gpal_D383_g00377.t4	18.275337
Gpal_D383_g00382.t1	0.000000
Gpal_D383_g00383.t3	0.000000
Gpal_D383_g00381.t1	46.148632
Gpal_D383_g00383.t1	30.977591
Gpal_D383_g00383.t2	14.108414
Gpal_D383_g00312.t2	0.000000
Gpal_D383_g00312.t3	0.000000
Gpal_D383_g00316.t1	0.000000
Gpal_D383_g00323.t2	0.000000
Gpal_D383_g00326.t2	0.000000
Gpal_D383_g00332.t2	0.000000
Gpal_D383_g00333.t1	0.000000
Gpal_D383_g00339.t2	0.000000
Gpal_D383_g00353.t1	0.000000
Gpal_D383_g00356.t2	0.000000
Gpal_D383_g00361.t1	0.000000
Gpal_D383_g00363.t1	0.000000
Gpal_D383_g00366.t1	0.000000
Gpal_D383_g00309.t1	55.067131
Gpal_D383_g00310.t1	23.467159
Gpal_D383_g00311.t1	9.701395
Gpal_D383_g00312.t1	38.403805
Gpal_D383_g00312.t4	15.051710
Gpal_D383_g00313.t1	10.785774
Gpal_D383_g00314.t1	70.220177
Gpal_D383_g00314.t2	25.264196
Gpal-D383_K-channel-RES.01	0.743847
Gpal_D383_g00315.t1	3.410669
Gpal_D383_g00317.t1	103.160980
Gpal_D383_g00318.t1	186.807022
Gpal_D383_g00319.t1	6.023371
Gpal_D383_g00320.t1	51.881996
Gpal_D383_g00321.t1	39.663708
Gpal_D383_g00321.t2	23.540850
Gpal_D383_g00322.t1	37.097118
Gpal_D383_g00323.t1	118.396683
Gpal_D383_g00324.t2	57.493481
Gpal_D383_g00324.t1	14.473965
Gpal_D383_g00324.t3	32.377571
Gpal_D383_g00325.t1	46.858215
Gpal_D383_g00326.t1	13.384873
Gpal_D383_g00327.t1	101.534157
Gpal_D383_g00328.t1	359.901215
Gpal_D383_g00329.t1	107.046371
Gpal_D383_g00330.t1	580.502319
Gpal_D383_g00331.t1	132.955688
Gpal_D383_g00332.t1	1.610031
Gpal_D383_g00334.t1	34.534382
Gpal_D383_g00335.t1	58.402088
Gpal_D383_g00336.t1	25.287668
Gpal_D383_g00337.t1	1.835231
Gpal_D383_g00338.t1	16.898661
Gpal_D383_g00339.t1	10.825218
Gpal_D383_g00340.t1	1929.847168
Gpal_D383_g00341.t1	162.555832
Gpal_D383_g00342.t1	141.055176
Gpal_D383_g00343.t1	189.100677
Gpal_D383_g00344.t1	631.616882
Gpal_D383_g00345.t1	22.891186
Gpal_D383_g00346.t1	26.346292
Gpal_D383_g00347.t2	7.848645
Gpal_D383_g00347.t1	6.539440
Gpal_D383_g00348.t1	8.302910
Gpal_D383_g00349.t1	32.393631
Gpal_D383_g00350.t2	160.498352
Gpal_D383_g00350.t1	0.606396
Gpal_D383_g00350.t3	0.344545
Gpal_D383_g00351.t1	106.924591
Gpal_D383_g00352.t1	19.595720
Gpal_D383_g00353.t2	19.442209
Gpal_D383_g00354.t1	80.172195
Gpal_D383_g00355.t1	140.552551
Gpal_D383_g00355.t2	4.576944
Gpal_D383_g00356.t1	4.066977
Gpal_D383_g00357.t1	93.342934
Gpal_D383_g00358.t1	292.111633
Gpal_D383_g00359.t1	1000.069763
Gpal_D383_g00360.t1	60.065365
Gpal_D383_g00362.t1	0.532143
Gpal_D383_g00364.t1	248.649719
Gpal_D383_g00365.t3	20.961315
Gpal_D383_g00365.t2	11.959081
Gpal_D383_g00365.t1	2.976124
Gpal_D383_g00366.t2	39.495529
Gpal_D383_g00366.t3	0.040864
Gpal_D383_g00367.t1	51.116344
Gpal_D383_g00368.t1	124.046234
Gpal_D383_g00369.t1	38.199547
Gpal_D383_g00370.t1	116.699989
Gpal_D383_g00371.t1	43.895454
Gpal_D383_g00372.t1	106.626709
Gpal_D383_g00527.t1	31.557373
Gpal_D383_g00529.t1	34.661228
Gpal_D383_g00528.t1	10.083195
Gpal_D383_g00530.t1	105.705101
Gpal_D383_g00534.t1	0.000000
Gpal_D383_g00534.t2	90.531754
Gpal_D383_g00535.t1	39.008438
Gpal_D383_g00536.t1	66.746559
Gpal_D383_g00539.t2	0.000000
Gpal_D383_g00539.t1	69.747978
Gpal_D383_g00531.t3	0.000000
Gpal_D383_g00532.t3	0.000000
Gpal_D383_g00531.t2	63.351540
Gpal_D383_g00531.t1	5.484375
Gpal_D383_g00531.t4	7.055595
Gpal_D383_g00532.t1	88.033089
